rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
227	1	1	1	0.3421632491203328	-20.57404073024057	0.9999999999999999	90.21552466820046	C4H8N2O3	[M - H]-	DCXYFEDJOCDNAF	InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)	agedoite	C(C(C(=O)O)N)C(=O)N	-2.25158358	236;6267;439600;4333740;5247114;5460880;5460874;5460875;5460877;5460878;5460881;6991971;6992089;16213309;16213311;16213450;16217343;16217399;16217568;16217723;16217724;53753695;58203004;71309330;71309891;87528072;88447182;91065355;101916026;122227568;124202806;131667586;134231473;136814877;138112706	HMDB:(168 33780);PubChem class - food;SuperNatural:(SN00002221 SN00156119);ZINC bio:(ZINC01529313 ZINC01532556);additional;HSDB:(70-47-3);MeSH:(236 6267 6992089);Plantcyc:(ASN B-DIDO-HEX-1:5_6:A CPD-3633);PubMed;NORMAN:(NS00002372);COCONUT:(CNP0405192 CNP0267849);KNApSAcK:(1341);Natural Products:(UNPD141469 UNPD81200);PubChem:(236 6267 439600 4333740 5247114 5460880 5460874 5460875 5460877 5460878 5460881 6991971 6992089 16213309 16213311 16213450 16217343 16217399 16217568 16217723 16217724 53753695 58203004 71309330 71309891 87528072 88447182 91065355 101916026 122227568 124202806 131667586 134231473 136814877 138112706);CHEBI:(32660 32651 28159 17196 74337 32661 32657 32656 22653 58048 32650);PubChem class - bio and metabolites;KEGG:(C00152 C01905 C16438);PubChem class - safety and toxic;YMDB:(849 226);Training Set;PubChem class - drug;Biocyc:(ASN CPD-3633)	255847294	131.044460788124	49.8092404205993	72_neg_ms2_spectra_FT00466
228	1	1	1	0.3416482767598627	-625.2378541890172	0.9994974874371858	55.37807573099831	C34H52N4O7S	[M - H]-	BPIDCVZDZNWNIV	InChI=1S/C34H52N4O7S/c1-20(2)16-26(31(41)36-25(17-24-14-15-35-30(24)40)28(46)18-27(39)23-12-13-23)37-32(42)29(21(3)45-34(4,5)6)38-33(43)44-19-22-10-8-7-9-11-22/h7-11,20-21,23-26,28-29,46H,12-19H2,1-6H3,(H,35,40)(H,36,41)(H,37,42)(H,38,43)	N-[(Benzyloxy)carbonyl]-O-Tert-Butyl-L-Threonyl-N-[(1r)-4-Cyclopropyl-4-Oxo-1-{[(3s)-2-Oxopyrrolidin-3-Yl]methyl}butyl]-L-Leucinamide	CC(C)CC(C(=O)NC(CC1CCNC1=O)C(CC(=O)C2CC2)S)NC(=O)C(C(C)OC(C)(C)C)NC(=O)OCC3=CC=CC=C3	3.5	25113619	PubChem:(25113619);PubChem class - bio and metabolites	16777218	659.350474435742	491.196779618025	1835_neg_ms2_spectra_FT11943
229	2	1	2	0.34123050364374524	-283.7625932859104	0.011055276381909547	92.46725086652295	C16H24N5O10P	[M + Cl]-	GDPVENOGSVMRJL	InChI=1S/C16H24N5O10P/c1-16(2,4-22)11(25)15(26)31-32(27,28)29-3-7-9(23)10(24)14(30-7)21-6-20-8-12(17)18-5-19-13(8)21/h5-7,9-11,14,22-25H,3-4H2,1-2H3,(H,27,28)(H2,17,18,19)	[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] 2,4-dihydroxy-3,3-dimethylbutanoate	CC(C)(CO)C(C(=O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O)O	-2.21642876	447261;3286785;46936457	COCONUT:(CNP0021306);PubChem:(447261 3286785 46936457);PubMed;PubChem class - bio and metabolites	18874434	512.096115836382	326.591230003359	1461_neg_ms2_spectra_FT08354
230	1	1	6	0.34035207216621327	-223.77597175442054	0.5085427135678392	14.18541482368577	C13H11NO3S	[M - H]-	ZBGWAJQUDSCDPB	InChI=1S/C13H11NO3S/c15-13(11-7-3-1-4-8-11)14-18(16,17)12-9-5-2-6-10-12/h1-10H,(H,14,15)	Oprea1_040067	C1=CC=C(C=C1)C(=O)NS(=O)(=O)C2=CC=CC=C2	2.18655801	229604;4487010	MeSH:(229604);Training Set;PubChem:(229604 4487010);PubMed	16454	260.038564628615	87.7021200698605	389_neg_ms2_spectra_FT01905
231	2	1	2	0.3400715826283964	-439.3401072685133	0.5492462311557789	92.93623382254007	C23H22N2O8	[M - H]-	WCIMRCGAANBKFS	InChI=1S/C23H22N2O8/c26-19-11-12-20(27)25(19)33-22(29)18(13-21(28)31-14-16-7-3-1-4-8-16)24-23(30)32-15-17-9-5-2-6-10-17/h1-10,18H,11-15H2,(H,24,30)	4-O-benzyl 1-O-(2,5-dioxopyrrolidin-1-yl) 2-(phenylmethoxycarbonylamino)butanedioate	C1CC(=O)N(C1=O)OC(=O)C(CC(=O)OCC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3	1.79999995	4079597;15382435;98172481	PubChem:(4079597 15382435 98172481);PubChem class - safety and toxic	67108866	453.131045012891	597.202387543857	1191_neg_ms2_spectra_FT06453
232	2	1	2	0.33965939064399603	-77.3222871649808	0.04874371859296482	54.33810011928096	C33H36O22	[M - H]-	QHUYAVQUOQPHFT	InChI=1S/C33H36O22/c34-8-16-18(37)19(38)24(43)32(52-16)55-28-23(42)22(41)27(30(47)48)54-33(28)50-11-5-12(35)17-13(36)7-14(51-15(17)6-11)9-1-3-10(4-2-9)49-31-25(44)20(39)21(40)26(53-31)29(45)46/h1-7,16,18-28,31-35,37-44H,8H2,(H,45,46)(H,47,48)	Apigenin 7-Glucosyl-(1->2)-glucuronide-4''-glucuronide	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)O)OC6C(C(C(C(O6)C(=O)O)O)O)O	-2.0	44257852	PubChem:(44257852);COCONUT:(CNP0110874)	2097154	783.157734732589	353.11309842432	1989_neg_ms2_spectra_FT14182
233	1	1	1	0.3395120234989798	-591.2950459349333	0.9999999999999999	29.839742342735057	C30H41N5O9S	[M - H]-	LGNGTCUCYFXGEV	InChI=1S/C30H41N5O9S/c1-3-4-23(25-19-6-5-18(14-20(19)30(43)44-25)13-17-9-11-32-12-10-17)45-15-22(26(37)35-27(38)29(41)42)34-24(36)8-7-21(28(39)40)33-16-31-2/h9-12,14,20-23,27,31,33,38H,3-8,13,15-16H2,1-2H3,(H,34,36)(H,35,37)(H,39,40)(H,41,42)/p-1	null	CCCC(C1=C2CCC(=CC2C(=O)O1)CC3=CC=NC=C3)SCC(C(=O)NC(C(=O)[O-])O)NC(=O)CCC(C(=O)[O-])NC[NH2+]C	0.0	""	COCONUT:(CNP0040700 CNP0044448 CNP0146282);SuperNatural:(SN00166403)	3145728	646.253686131603	250.047469138914	1787_neg_ms2_spectra_FT11601
234	1	1	2	0.33918056833616894	-189.16641615063062	0.728140703517588	26.12488960324018	C21H26O12	[M + Br]-	AOPMSFXOYJXDNJ	InChI=1S/C21H26O12/c1-8(23)10-5-21(33-18(10)28)4-3-9-11(17(27)29-2)7-30-19(13(9)21)32-20-16(26)15(25)14(24)12(6-22)31-20/h3-5,7-9,12-16,19-20,22-26H,6H2,1-2H3	agoniadin	CC(C1=CC2(C=CC3C2C(OC=C3C(=O)OC)OC4C(C(C(C(O4)CO)O)O)O)OC1=O)O	-1.20000005	72319;400630;3453259;10027695;11968843;11969666;23760108;23872040;24893147;54608053;93472755;133554349;137705874	SuperNatural:(SN00239703 SN00229863 SN00395177 SN00038611 SN00038610 SN00036242 SN00038612 SN00276374 SN00343516);ZINC bio:(ZINC04098351 ZINC38139636 ZINC38139637 ZINC38139638);additional;MeSH:(72319 3453259 11969666 54608053 133554349 137705874);PubMed;COCONUT:(CNP0257406);KNApSAcK:(3096);Natural Products:(UNPD135308 UNPD49855 UNPD46108 UNPD167785 UNPD187386 UNPD91740);PubChem:(72319 400630 3453259 10027695 11968843 11969666 23760108 23872040 24893147 54608053 93472755 133554349 137705874);CHEBI:(8275);KEGG:(C09797);Training Set	3727734	549.058834906029	474.513478912762	1583_neg_ms2_spectra_FT09440
235	1	1	1	0.3388900248893493	-29.379321881349185	0.9999999999999999	137.36080849693312	C5H10N2O3	[M - H]-	ZDXPYRJPNDTMRX	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)	glutamin	C(CC(=O)N)C(C(=O)O)N	-1.80237091	738;5961;145815;3949139;5460866;5460862;5460863;5460865;5460870;5460871;6992086;6992096;11789351;15560190;15560193;15560194;16213341;16217249;16217534;16217562;16217702;25244553;60111834;56835788;57616937;59584414;59274060;58203006;71308839;71308840;71308841;71308842;71309440;71309658;71309916;71309977;86671832;87103585;87103617;87528065;87151912;88901893;88959280;87944963;87945056;90973518;91337929;101964087;101964088;102387240;117059134;124202803;129848886;131879741	HMDB:(641 3423);PubChem class - food;SuperNatural:(SN00002229 SN00002216);ZINC bio:(ZINC01532526 ZINC01532609);additional;HSDB:(56-85-9);MeSH:(5961 145815);Plantcyc:(GLN GLUTAMIDE);PubMed;NORMAN:(NS00006419);COCONUT:(CNP0361973);KNApSAcK:(1359);Natural Products:(UNPD3701);PubChem:(738 5961 145815 3949139 5460866 5460862 5460863 5460865 5460870 5460871 6992086 6992096 11789351 15560190 15560193 15560194 16213341 16217249 16217534 16217562 16217702 25244553 60111834 56835788 57616937 59584414 59274060 58203006 71308839 71308840 71308841 71308842 71309440 71309658 71309916 71309977 86671832 87103585 87103617 87528065 87151912 88901893 88959280 87944963 87945056 90973518 91337929 101964087 101964088 102387240 117059134 124202803 129848886 131879741);CHEBI:(32666 32678 32665 28300 32672 17061 58359 32673 18050 32679 58000);PubChem class - bio and metabolites;KEGG:(C00064 C00303 C00819);PubChem class - safety and toxic;YMDB:(990 2);Training Set;PubChem class - drug;Biocyc:(GLN GLUTAMIDE)	255847294	145.060196030571	48.622974199614	92_neg_ms2_spectra_FT00576
236	1	1	1	0.33860081101555084	-163.74272588853637	0.9999999999999999	65.21072769385152	C33H55NO8	[M - H]-	HRUKKZDXKJUOSO	InChI=1S/C33H55NO8/c1-16-4-7-27-33(3,40)22-6-5-18-19(21(22)14-34(27)13-16)11-23-20(18)12-25(36)24-10-17(8-9-32(23,24)2)41-31-30(39)29(38)28(37)26(15-35)42-31/h16-31,35-40H,4-15H2,1-3H3	Peiminoside	CC1CCC2C(C3CCC4C(C3CN2C1)CC5C4CC(C6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)O)C)O)(C)O	2.5	6325787;20055070;23304557;101428726	COCONUT:(CNP0030714 CNP0119982);KNApSAcK:(29263);Natural Products:(UNPD59949 UNPD86247 UNPD94209 UNPD223930);PubChem:(6325787 20055070 23304557 101428726);SuperNatural:(SN00341975 SN00168049 SN00316340 SN00396007);KEGG:(C17882)	3178770	592.381420139503	709.06772586637	1676_neg_ms2_spectra_FT10468
237	1	1	1	0.3383682038410226	-616.0909412129645	0.9999999999999999	116.75679958119856	C35H42N4O12	[M - H]-	KLESRDLIKFNTSY	InChI=1S/C35H42N4O12/c1-17(9-11-37-2)20(13-18-10-12-38-15-18)16-39-33(47)35(48)30(43)27(42)29(32(45)46)51-34(35)49-22-7-8-23-24(14-22)50-28(31(36)44)25(26(23)41)19-3-5-21(40)6-4-19/h3-8,10,12,14-15,17,20,27,29-30,33-34,37-40,42-43,47-48H,9,11,13,16H2,1-2H3,(H2,36,44)(H,45,46)/p+1	null	CC(CCNC)C(CC1=CNC=C1)CNC(C2(C(C(C(OC2OC3=CC4=C(C=C3)C(=O)C(=C(O4)C(=O)[NH3+])C5=CC=C(C=C5)O)C(=O)O)O)O)O)O	0.0	""	COCONUT:(CNP0113643)	2097152	709.267688887568	349.473345913216	1921_neg_ms2_spectra_FT13113
238	1	1	1	0.3383682038410226	-616.0909412129645	0.9999999999999999	116.75679958119856	C35H42N4O12	[M - H]-	KLESRDLIKFNTSY	InChI=1S/C35H42N4O12/c1-17(9-11-37-2)20(13-18-10-12-38-15-18)16-39-33(47)35(48)30(43)27(42)29(32(45)46)51-34(35)49-22-7-8-23-24(14-22)50-28(31(36)44)25(26(23)41)19-3-5-21(40)6-4-19/h3-8,10,12,14-15,17,20,27,29-30,33-34,37-40,42-43,47-48H,9,11,13,16H2,1-2H3,(H2,36,44)(H,45,46)/p+1	null	CC(CCNC)C(CC1=CNC=C1)CNC(C2(C(C(C(OC2OC3=CC4=C(C=C3)C(=O)C(=C(O4)C(=O)[NH3+])C5=CC=C(C=C5)O)C(=O)O)O)O)O)O	0.0	""	COCONUT:(CNP0113643)	2097152	709.268004855085	351.576334828858	1922_neg_ms2_spectra_FT13114
239	1	1	1	0.3383682038410226	-616.0909412129645	0.9999999999999999	116.75679958119856	C35H42N4O12	[M - H]-	KLESRDLIKFNTSY	InChI=1S/C35H42N4O12/c1-17(9-11-37-2)20(13-18-10-12-38-15-18)16-39-33(47)35(48)30(43)27(42)29(32(45)46)51-34(35)49-22-7-8-23-24(14-22)50-28(31(36)44)25(26(23)41)19-3-5-21(40)6-4-19/h3-8,10,12,14-15,17,20,27,29-30,33-34,37-40,42-43,47-48H,9,11,13,16H2,1-2H3,(H2,36,44)(H,45,46)/p+1	null	CC(CCNC)C(CC1=CNC=C1)CNC(C2(C(C(C(OC2OC3=CC4=C(C=C3)C(=O)C(=C(O4)C(=O)[NH3+])C5=CC=C(C=C5)O)C(=O)O)O)O)O)O	0.0	""	COCONUT:(CNP0113643)	2097152	709.267958243757	350.43275499479	1923_neg_ms2_spectra_FT13116
240	2	1	2	0.338351598702798	-503.53636365397756	0.2949748743718593	71.9729271312142	C27H30F3N7O3S	[M - H]-	UOCADGAYPDMSHO	InChI=1S/C27H30F3N7O3S/c1-17(38)36-9-11-37(12-10-36)20-6-7-22(23(15-20)40-2)34-26-31-16-21(27(28,29)30)25(35-26)33-19-5-3-4-18(14-19)32-24(39)8-13-41/h3-7,14-16,41H,8-13H2,1-2H3,(H,32,39)(H2,31,33,34,35)	null	CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NC4=CC(=CC=C4)NC(=O)CCS)C(F)(F)F)OC	3.5999999	131700139	PubChem:(131700139);PubChem class - bio and metabolites	16777218	588.205206007979	668.975583573436	1668_neg_ms2_spectra_FT10388
241	4	1	6	0.3382447493406831	-240.6741827307659	0.010050251256281409	32.62890857435312	C22H24N4O4	[M + Cl]-	BSAAIWSDUILPSO	InChI=1S/C22H24N4O4/c1-14(2)30-16-10-8-15(9-11-16)20(27)23-12-5-13-24-22(29)19-25-18-7-4-3-6-17(18)21(28)26-19/h3-4,6-11,14H,5,12-13H2,1-2H3,(H,23,27)(H,24,29)(H,25,26,28)	N-{3-[(4-isopropoxybenzoyl)amino]propyl}-4-oxo-3,4-dihydro-2-quinazolinecarboxamide	CC(C)OC1=CC=C(C=C1)C(=O)NCCCNC(=O)C2=NC3=CC=CC=C3C(=O)N2	2.5	135638553	COCONUT:(CNP0397814);PubChem:(135638553);ZINC bio:(ZINC22470920)	2105346	443.153089087691	337.928135334624	1126_neg_ms2_spectra_FT06135
242	1	1	2	0.3379711309192938	-120.7125538891653	0.9678391959798996	64.75267052102281	C32H32O15	[M + Cl]-	XHCIZLWHEPIQDR	InChI=1S/C32H32O15/c1-15(33)40-14-26-29(43-17(3)35)30(44-18(4)36)31(45-19(5)37)32(47-26)46-22-11-24-27(25(12-22)42-16(2)34)28(38)23(13-41-24)20-7-9-21(39-6)10-8-20/h7-13,26,29-32H,14H2,1-6H3	3-(4-methoxyphenyl)-4-oxo-7-[(2,3,4,6-tetra-O-acetylhexopyranosyl)oxy]-4H-chromen-5-yl acetate	CC(=O)OCC1C(C(C(C(O1)OC2=CC3=C(C(=C2)OC(=O)C)C(=O)C(=CO3)C4=CC=C(C=C4)OC)OC(=O)C)OC(=O)C)OC(=O)C	2.5	3589671;16397034;99649204;99649206;99649207;99649210;124938938;124938939	COCONUT:(CNP0367681);PubChem:(3589671 16397034 99649204 99649206 99649207 99649210 124938938 124938939);SuperNatural:(SN00114417);ZINC bio:(ZINC79204450)	3153922	691.147822229465	445.476274900605	1894_neg_ms2_spectra_FT12688
243	1	1	1	0.3375559779306618	-78.97758737209413	0.9999999999999999	138.48934397357272	C20H28O12	[M - H]-	STSLPRRNSYCFTQ	InChI=1S/C20H28O12/c21-7-10-13(23)15(25)17(27)19(30-10)32-20-18(28)16(26)14(24)11(31-20)8-29-12(22)6-9-4-2-1-3-5-9/h1-5,10-11,13-21,23-28H,6-8H2	null	C1=CC=C(C=C1)CC(=O)OCC2C(C(C(C(O2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O	-2.5999999	75368748;133562288	COCONUT:(CNP0102467);Training Set;PubChem:(75368748 133562288);additional	2637826	459.151584370109	282.336566596202	1217_neg_ms2_spectra_FT06642
244	3	1	3	0.33682219132220176	-139.43127482633753	0.01256281407035176	9.227996766087399	C9H14N4O5	[M - H]-	RTRQQBHATOEIAF	InChI=1S/C9H14N4O5/c10-7-4(8(11)17)12-2-13(7)9-6(16)5(15)3(1-14)18-9/h2-3,5-6,9,14-16H,1,10H2,(H2,11,17)	Acadesina	C1=NC(=C(N1C2C(C(C(O2)CO)O)O)N)C(=O)N	-2.20000005	17513;266934;12043212;12436688;12436690;10988942;16667722;42066955;42066956;40495821;46780289;52944342;51407868;51407869;54285342;53298813;60084721;71719737;71313279;134694950;134891693;139026028;137965497	HMDB:(62179);SuperNatural:(SN00003479 SN00027295 SN00328642 SN00321450);ZINC bio:(ZINC03798074 ZINC04877289 ZINC04877291 ZINC04877292 ZINC04877294 ZINC11616871 ZINC11616872 ZINC13547762 ZINC26252414);additional;MeSH:(17513 266934 46780289 53298813 134694950);PubMed;NORMAN:(NS00014782);COCONUT:(CNP0104757);Natural Products:(UNPD3156 UNPD126948 UNPD47996);PubChem:(17513 266934 12043212 12436688 12436690 10988942 16667722 42066955 42066956 40495821 46780289 52944342 51407868 51407869 54285342 53298813 60084721 71719737 71313279 134694950 134891693 139026028 137965497);YMDB Mine;CHEBI:(93920 28498 125449);PubChem class - bio and metabolites;KEGG:(C04663);PubChem class - safety and toxic;Training Set;PubChem class - drug	34481168750	257.09087266617	293.699445635419	376_neg_ms2_spectra_FT01853
245	1	1	2	0.3365975731751486	-217.9279348920251	0.9020100502512564	60.85492991796178	C26H24O8	[M - H]-	URTLNVPAJMHHMA	InChI=1S/C26H24O8/c1-15(27)32-20-10-6-18(7-11-20)22-14-23(30-4)24(26(25(22)31-5)34-17(3)29)19-8-12-21(13-9-19)33-16(2)28/h6-14H,1-5H3	null	CC(=O)OC1=CC=C(C=C1)C2=CC(=C(C(=C2OC)OC(=O)C)C3=CC=C(C=C3)OC(=O)C)OC	4.87515259	""	COCONUT:(CNP0244253);Natural Products:(UNPD111977);SuperNatural:(SN00404787)	3178496	463.142194144854	233.934818861953	1245_neg_ms2_spectra_FT06788
246	1	1	2	0.33647136908307057	-60.887167367893824	0.735678391959799	46.22667013871763	C27H34O14	[M - H]-	CWBZAESOUBENAP	InChI=1S/C27H34O14/c1-11-20(33)22(35)24(37)26(38-11)41-25-23(36)21(34)18(10-28)40-27(25)39-14-8-16(31)19(17(32)9-14)15(30)7-4-12-2-5-13(29)6-3-12/h2-3,5-6,8-9,11,18,20-29,31-37H,4,7,10H2,1H3	Naringin DC	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC=C(C=C4)O)O)CO)O)O)O)O)O	-0.300000012	9894584;25202996;25245680;42608892;51066529;52897386;58122586;66523441;68518771;97039896;97039899;97039903;97039906;98118865;98118866;98118867;98118868;98145835;98145836;98145837;99722969;99722970;99722971;99722972;101876021;118409946;124903231;124903232;124903233;124903234;126963586;129010054;129010249;129607001;129627736;131705472;134129448;138106990	NORMAN:(NS00009070);COCONUT:(CNP0412117);PubChem class - food;PubChem:(9894584 25202996 25245680 42608892 51066529 52897386 58122586 66523441 68518771 97039896 97039899 97039903 97039906 98118865 98118866 98118867 98118868 98145835 98145836 98145837 99722969 99722970 99722971 99722972 101876021 118409946 124903231 124903232 124903233 124903234 126963586 129010054 129010249 129607001 129627736 131705472 134129448 138106990);ZINC bio:(ZINC85468948 ZINC85468954 ZINC85468963 ZINC85468968);additional;MeSH:(9894584);Training Set;PubMed;Biocyc:(CPD-7067);KEGG Mine	8727062598	581.18421176116	423.948375510015	1651_neg_ms2_spectra_FT10240
247	2	1	2	0.33587985162189643	-116.52405367514807	0.17788944723618091	68.52758029921118	C32H32O15	[M + Cl]-	XHCIZLWHEPIQDR	InChI=1S/C32H32O15/c1-15(33)40-14-26-29(43-17(3)35)30(44-18(4)36)31(45-19(5)37)32(47-26)46-22-11-24-27(25(12-22)42-16(2)34)28(38)23(13-41-24)20-7-9-21(39-6)10-8-20/h7-13,26,29-32H,14H2,1-6H3	3-(4-methoxyphenyl)-4-oxo-7-[(2,3,4,6-tetra-O-acetylhexopyranosyl)oxy]-4H-chromen-5-yl acetate	CC(=O)OCC1C(C(C(C(O1)OC2=CC3=C(C(=C2)OC(=O)C)C(=O)C(=CO3)C4=CC=C(C=C4)OC)OC(=O)C)OC(=O)C)OC(=O)C	2.5	3589671;16397034;99649204;99649206;99649207;99649210;124938938;124938939	COCONUT:(CNP0367681);PubChem:(3589671 16397034 99649204 99649206 99649207 99649210 124938938 124938939);SuperNatural:(SN00114417);ZINC bio:(ZINC79204450)	3153922	691.147768429246	467.014043224438	1893_neg_ms2_spectra_FT12687
248	2	1	2	0.3355200770638087	-299.89592065702556	0.12562814070351758	36.10044106838119	C35H44O23	[M + Cl]-	QBIIVACGGPZGMN	InChI=1S/C35H44O23/c1-48-12-6-5-10(7-11(12)37)26-31(18(40)15-17(39)29(49-2)25(47)30(50-3)28(15)55-26)57-33-21(43)16(38)14(9-52-33)54-34-24(46)20(42)27(13(8-36)53-34)56-35-23(45)19(41)22(44)32(51-4)58-35/h5-7,13-14,16,19-24,27,32-39,41-47H,8-9H2,1-4H3	null	COC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3COC(C(C3O)O)OC4=C(OC5=C(C4=O)C(=C(C(=C5OC)O)OC)O)C6=CC(=C(C=C6)OC)O)CO)O)O)O	-2.56062984	""	COCONUT:(CNP0147747);Natural Products:(UNPD183869);SuperNatural:(SN00350456)	3178496	867.194569730272	419.021651549157	2048_neg_ms2_spectra_FT15057
249	1	1	1	0.3353705504038699	-228.6388145827616	0.9984924623115577	44.61352843226888	C13H17N5O13P2	[M - H]-	HEEGRWSFVXWVAQ	InChI=1S/C13H17N5O13P2/c1-4(12(22)23)30-33(26,27)31-32(24,25)28-2-5-7(19)8(20)11(29-5)18-3-15-6-9(18)16-13(14)17-10(6)21/h3,5,7-8,11,19-20H,1-2H2,(H,22,23)(H,24,25)(H,26,27)(H3,14,16,17,21)	null	C=C(C(=O)O)OP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=C(NC3=O)N)O)O	-3.17135358	138388125;138388126	PubChem:(138388125 138388126);CHEBI:(143701);KEGG Mine	8589934626	512.019963538161	355.61414250808	1462_neg_ms2_spectra_FT08356
250	2	1	2	0.3351447317770809	-150.35430491684247	0.7020100502512563	5.202664635530617	C11H10ClNO3	[M - H]-	QPYOMMCYFFZXIT	InChI=1S/C11H10ClNO3/c12-8-1-3-9(4-2-8)13-6-7(11(15)16)5-10(13)14/h1-4,7H,5-6H2,(H,15,16)	Oprea1_656900	C1C(CN(C1=O)C2=CC=C(C=C2)Cl)C(=O)O	1.10000002	735276;735277;217785;3353325;6930364;6930365	PubChem class - safety and toxic;Training Set;PubChem:(735276 735277 217785 3353325 6930364 6930365);PubMed	67125314	238.028195978642	347.163996427686	311_neg_ms2_spectra_FT01569
251	1	1	1	0.33503019356544317	-202.40926246015925	0.9999999999999999	128.4398226757214	C16H25N5O4	[M - H]-	LOHSJZLQNKMZMK	InChI=1S/C16H25N5O4/c1-25-15(24)13(3-2-8-20-16(18)19)21-14(23)12(17)9-10-4-6-11(22)7-5-10/h4-7,12-13,22H,2-3,8-9,17H2,1H3,(H,21,23)(H4,18,19,20)	Tyrosylarginine methyl ester	COC(=O)C(CCCN=C(N)N)NC(=O)C(CC1=CC=C(C=C1)O)N	-0.294021279	124899;21120435;21120436;54044058	MeSH:(124899);PubChem:(124899 21120435 21120436 54044058);PubMed;KEGG Mine	8589934662	350.183947053113	48.6820042084367	791_neg_ms2_spectra_FT03815
252	1	1	1	0.33499827820973216	-17.441678403156995	0.9999999999999999	141.9122112954308	C21H18O12	[M - H]-	FNTJVYCFNVUBOL	InChI=1S/C21H18O12/c22-8-3-1-7(2-4-8)17-18(13(25)12-10(24)5-9(23)6-11(12)31-17)32-21-16(28)14(26)15(27)19(33-21)20(29)30/h1-6,14-16,19,21-24,26-28H,(H,29,30)	Kaempferol 3-glucuronide	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O	1.0	5318759;10863515;14185731;10226594;22846027;44258914;49849756;95400967	HMDB:(29500);SuperNatural:(SN00400583 SN00028518 SN00362240 SN00336282 SN00237283 SN00328715 SN00166957);ZINC bio:(ZINC31155995);additional;MeSH:(5318759 22846027);PubMed;COCONUT:(CNP0064957 CNP0158160 CNP0263661);KNApSAcK:(5141);Natural Products:(UNPD115484 UNPD5327 UNPD127224 UNPD70129 UNPD149232);PubChem:(5318759 10863515 14185731 10226594 22846027 44258914 49849756 95400967);CHEBI:(75721);PubChem class - bio and metabolites;PubChem class - safety and toxic;YMDB:(1724);Training Set;KEGG Mine	8677613694	461.069106327858	404.225395525153	1228_neg_ms2_spectra_FT06707
253	3	1	1	0.33214776032973486	-338.06446244709804	0.9999999999999999	39.08514846873917	C29H34O16	[M - H]-	QKMLPSOMRMIAPR	InChI=1S/C29H34O16/c1-12-22(37)23(38)24(39)29(42-12)45-27-25(40)28(41-11-19(35)14-4-6-16(32)18(34)9-14)43-20(10-30)26(27)44-21(36)7-3-13-2-5-15(31)17(33)8-13/h2-9,12,20,22-34,37-40H,10-11H2,1H3	null	CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCC(=O)C4=CC(=C(C=C4)O)O)O)O)O)O	-1.0	90470164	COCONUT:(CNP0211864);KNApSAcK:(34095);Natural Products:(UNPD178020 UNPD84204);PubChem:(90470164);SuperNatural:(SN00283994 SN00237964);KEGG Mine	8593113106	637.179367136	72.6465190202379	1766_neg_ms2_spectra_FT11398
